,행정동,구,공원개수,공원개수_w,문화시설개수,문화시설개수_w,한강공원개수,한강공원개수_w,체육시설개수,체육시설개수_w,보행자도로개수,보행자도로개수_w,초중고,초중고_w,관광명소개수,관광명소개수_w,지하철개수,지하철개수_w,호텔개수,호텔개수_w,대학교개수,대학교개수_w,총합,가중치총합
136,상계10동,노원구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,5,0.000199334
137,상계2동,노원구,,0,2,0.000337224,,0,,0,2,0.000639269,2,0.000015361,,0,1,0.000134228,,0,,0,7,0.001126083
138,상계6.7동,노원구,,0,4,0.000674449,,0,,0,,0,6,0.000046083,,0,,0,1,0.00003876,1,0.000172414,12,0.000931705
139,상도2동,동작구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,,0,1,0.000134228,,0,,0,4,0.000318201
140,상봉1동,중랑구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,2,0.000268456,,0,,0,7,0.000467791
141,상봉2동,중랑구,,0,1,0.000168612,,0,,0,,0,,0,,0,,0,2,0.000077519,,0,3,0.000246132
142,상암동,마포구,,0,5,0.000843061,,0,1,0.001041667,,0,5,0.000038402,1,0.001162791,1,0.000134228,1,0.00003876,,0,14,0.003258909
143,서강동,마포구,,0,3,0.000505837,,0,,0,,0,1,0.00000768,,0,2,0.000268456,,0,1,0.000172414,7,0.000954387
144,서교동,마포구,,0,9,0.00151751,,0,,0,,0,1,0.00000768,1,0.001162791,2,0.000268456,7,0.000271318,,0,20,0.003227755
145,서빙고동,용산구,,0,5,0.000843061,2,0.009174312,,0,,0,2,0.000015361,1,0.001162791,1,0.000134228,,0,,0,11,0.011329753
146,서초1동,서초구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,,0,1,0.000134228,2,0.000077519,1,0.000172414,7,0.000568135
147,서초2동,서초구,,0,3,0.000505837,,0,1,0.001041667,,0,2,0.000015361,,0,1,0.000134228,,0,,0,7,0.001697092
148,서초3동,서초구,,0,9,0.00151751,,0,,0,,0,5,0.000038402,1,0.001162791,2,0.000268456,3,0.000116279,,0,20,0.003103438
149,서초4동,서초구,,0,1,0.000168612,,0,,0,4,0.001278539,3,0.000023041,,0,,0,,0,,0,8,0.001470192
150,성내1동,강동구,,0,2,0.000337224,,0,,0,,0,2,0.000015361,,0,1,0.000134228,,0,,0,5,0.000486814
151,성내3동,강동구,,0,1,0.000168612,,0,,0,,0,,0,,0,1,0.000134228,1,0.00003876,,0,3,0.0003416
152,성북동,성북구,,0,7,0.001180285,,0,,0,,0,17,0.000130568,3,0.003488372,,0,,0,,0,27,0.004799226
153,성산2동,마포구,,0,2,0.000337224,,0,,0,,0,5,0.000038402,1,0.001162791,2,0.000268456,,0,,0,10,0.001806874
154,성수1가1동,성동구,,0,3,0.000505837,,0,,0,,0,7,0.000053763,1,0.001162791,1,0.000134228,,0,,0,12,0.001856619
155,소공동,중구,,0,18,0.003035019,,0,,0,,0,5,0.000038402,5,0.005813953,1,0.000134228,7,0.000271318,,0,36,0.009292921
156,송중동,강북구,,0,2,0.000337224,,0,,0,,0,3,0.000023041,,0,1,0.000134228,1,0.00003876,,0,7,0.000533254
157,송천동,강북구,,0,1,0.000168612,,0,,0,,0,6,0.000046083,,0,1,0.000134228,,0,,0,8,0.000348923
158,송파2동,송파구,,0,1,0.000168612,,0,,0,,0,6,0.000046083,,0,,0,,0,,0,7,0.000214695
159,수색동,은평구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,1,0.000134228,,0,,0,3,0.000310521
160,수서동,강남구,,0,1,0.000168612,,0,,0,,0,3,0.000023041,,0,1,0.000134228,,0,,0,5,0.000325882
161,수유1동,강북구,,0,1,0.000168612,,0,,0,,0,7,0.000053763,,0,1,0.000134228,,0,,0,9,0.000356604
162,수유3동,강북구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,2,0.000176293
163,숭인1동,종로구,,0,1,0.000168612,,0,,0,,0,,0,,0,,0,,0,,0,1,0.000168612
164,숭인2동,종로구,,0,2,0.000337224,,0,,0,2,0.000639269,3,0.000023041,,0,1,0.000134228,1,0.00003876,,0,9,0.001172523
165,시흥1동,금천구,,0,3,0.000505837,,0,,0,2,0.000639269,4,0.000030722,,0,1,0.000134228,,0,,0,10,0.001310056
166,시흥3동,금천구,,0,2,0.000337224,,0,,0,,0,5,0.000038402,,0,,0,,0,,0,7,0.000375627
167,시흥4동,금천구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,2,0.000176293
168,시흥5동,금천구,,0,1,0.000168612,,0,,0,2,0.000639269,2,0.000015361,,0,,0,,0,,0,5,0.000823243
169,신길5동,영등포구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,2,0.000176293
170,신내2동,중랑구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,1,0.000134228,,0,,0,6,0.000333562
171,신당동,중구,,0,2,0.000337224,,0,,0,,0,4,0.000030722,1,0.001162791,1,0.000134228,,0,,0,8,0.001664965
172,신도림동,구로구,,0,1,0.000168612,,0,,0,,0,3,0.000023041,1,0.001162791,2,0.000268456,1,0.00003876,,0,8,0.00166166
173,신림동,관악구,,0,1,0.000168612,,0,,0,2,0.000639269,,0,1,0.001162791,1,0.000134228,2,0.000077519,,0,7,0.00218242
174,신사동,강남구,,0,4,0.000674449,4,0.018348624,,0,,0,3,0.000023041,1,0.001162791,2,0.000268456,2,0.000077519,,0,16,0.020554881
175,신월7동,양천구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,,0,,0,,0,,0,3,0.000183973
176,신정6동,양천구,,0,4,0.000674449,,0,,0,,0,2,0.000015361,,0,,0,,0,,0,6,0.00068981
177,신촌동,서대문구,,0,7,0.001180285,,0,,0,12,0.003835616,6,0.000046083,1,0.001162791,2,0.000268456,1,0.00003876,2,0.000344828,31,0.006876819
178,쌍문1동,도봉구,,0,3,0.000505837,,0,,0,,0,4,0.000030722,,0,,0,,0,1,0.000172414,8,0.000708972
179,아현동,마포구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,2,0.000268456,1,0.00003876,,0,8,0.00050655
180,안암동,성북구,,0,1,0.000168612,,0,,0,,0,3,0.000023041,,0,1,0.000134228,,0,1,0.000172414,6,0.000498296
181,암사1동,강동구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,2,0.000176293
182,암사2동,강동구,,0,3,0.000505837,,0,1,0.001041667,,0,2,0.000015361,1,0.001162791,1,0.000134228,,0,,0,8,0.002859883
183,압구정동,강남구,,0,6,0.001011673,,0,,0,,0,5,0.000038402,,0,1,0.000134228,2,0.000077519,,0,14,0.001261823
184,양재2동,서초구,,0,1,0.000168612,,0,1,0.001041667,,0,2,0.000015361,1,0.001162791,1,0.000134228,1,0.00003876,,0,7,0.002561418
185,여의동,영등포구,,0,5,0.000843061,,0,1,0.001041667,,0,6,0.000046083,3,0.003488372,4,0.000536913,5,0.000193798,,0,24,0.006149894
186,역삼1동,강남구,,0,13,0.002191958,,0,,0,1,0.000319635,1,0.00000768,,0,3,0.000402685,12,0.000465116,,0,30,0.003387075
187,역삼2동,강남구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,2,0.000268456,1,0.00003876,,0,8,0.00050655
188,역촌동,은평구,,0,2,0.000337224,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,3,0.000344905
189,염창동,강서구,,0,1,0.000168612,,0,,0,4,0.001278539,5,0.000038402,,0,,0,3,0.000116279,,0,13,0.001601833
190,영등포본동,영등포구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,1,0.000134228,,0,,0,6,0.000333562
191,오륜동,송파구,,0,10,0.001686122,,0,,0,,0,7,0.000053763,1,0.001162791,1,0.000134228,,0,1,0.000172414,20,0.003209318
192,용답동,성동구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,3,0.000402685,1,0.00003876,,0,6,0.000617737
193,용문동,용산구,,0,1,0.000168612,,0,,0,,0,,0,1,0.001162791,,0,,0,,0,2,0.001331403
