,지역,학교명,위도,경도,구
919,서울특별시 강북구,화계중학교,37.63251698,127.0097112,강북구
920,서울특별시 종로구,경신중학교,37.591111,127.001296,종로구
921,서울특별시 중구,금호여자중학교,37.55803964,127.0204625,중구
922,서울특별시 중구,대경중학교,37.557027000000005,127.01700100000001,중구
923,서울특별시 종로구,대신중학교,37.573481,126.96249399999999,종로구
924,서울특별시 종로구,덕성여자중학교,37.57778625,126.9819095,종로구
925,서울특별시 중구,덕수중학교,37.565033,126.99718999999999,중구
926,서울특별시 종로구,동성중학교,37.6,127.0,성북구
927,서울특별시 용산구,배문중학교,37.54991971,126.96390490000002,용산구
928,서울특별시 종로구,배화여자중학교,37.579454,126.966821,종로구
929,서울특별시 용산구,보성여자중학교,37.542528000000004,126.98435500000001,용산구
930,서울특별시 종로구,상명대학교사범대학부속여자중학교,37.602628,126.9541,종로구
931,서울특별시 용산구,선린중학교,37.542704,126.965101,용산구
932,서울특별시 용산구,성심여자중학교,37.534568,126.954426,용산구
933,서울특별시 동작구,숭의여자중학교,37.508308,126.928987,동작구
934,서울특별시 용산구,신광여자중학교,37.32352,126.58125,
935,서울특별시 용산구,오산중학교,37.523974,126.999569,용산구
