행정동,구,공원개수,공원개수_w,문화시설개수,문화시설개수_w,한강공원개수,한강공원개수_w,체육시설개수,체육시설개수_w,보행자도로개수,보행자도로개수_w,초중고,초중고_w,관광명소개수,관광명소개수_w,지하철개수,지하철개수_w,호텔개수,호텔개수_w,대학교개수,대학교개수_w,총합,가중치총합,인구수비율,SCORE,랭크
중계2.3동,노원구,,0,2,0.000337224,,0,,0,,0,9,0.000069124,1,0.001162791,1,0.000135593,,0,,0,13,0.001704732,0.003404928,0.006163184,94
세곡동,강남구,2,0.00084507,3,0.000505837,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,9,0.001381629,0.003856005,0.006091481,95
연희동,서대문구,2,0.00084507,3,0.000505837,,0,,0,,0,3,0.000023041,,0,,0,,0,,0,8,0.001373948,0.003861226,0.006084274,96
창4동,도봉구,,0,3,0.000505837,,0,1,0.001041667,,0,5,0.000038402,,0,2,0.000271186,,0,,0,11,0.001857092,0.003028861,0.006033636,97
우장산동,강서구,,0,2,0.000337224,,0,,0,4,0.001278539,2,0.000015361,,0,,0,,0,,0,8,0.001631124,0.003239151,0.00587831,98
신도림동,구로구,,0,1,0.000168612,,0,,0,,0,3,0.000023041,1,0.001162791,2,0.000271186,1,0.00003876,,0,8,0.00166439,0.003163132,0.005856115,99
대방동,동작구,,0,2,0.000337224,,0,,0,2,0.000639269,13,0.000099846,,0,2,0.000271186,,0,,0,19,0.001347525,0.003661836,0.005842131,100
청담동,강남구,,0,5,0.000843061,,0,,0,,0,3,0.000023041,,0,,0,5,0.000193798,,0,13,0.0010599,0.004116211,0.005831129,101
오류2동,구로구,1,0.000422535,1,0.000168612,,0,,0,,0,9,0.000069124,,0,2,0.000271186,,0,1,0.000172414,14,0.001103871,0.003946312,0.005732375,102
길동,강동구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,1,0.000135593,2,0.000077519,,0,8,0.000412446,0.004976144,0.005643482,103
중림동,중구,,0,4,0.000674449,,0,1,0.001041667,,0,4,0.000030722,1,0.001162791,1,0.000135593,,0,,0,11,0.003045222,0.000696354,0.005623523,104
염창동,강서구,,0,1,0.000168612,,0,,0,4,0.001278539,5,0.000038402,,0,,0,3,0.000116279,,0,13,0.001601832,0.002926098,0.005517862,105
망우본동,중랑구,,0,1,0.000168612,,0,1,0.001041667,,0,13,0.000099846,,0,2,0.000271186,,0,,0,17,0.001581311,0.00294808,0.005506641,106
공덕동,마포구,,0,,0,,0,,0,,0,2,0.000015361,1,0.001162791,1,0.000135593,,0,,0,4,0.001313745,0.003376718,0.005502357,107
화곡1동,강서구,,0,,0,,0,,0,,0,3,0.000023041,,0,2,0.000271186,7,0.000271318,,0,12,0.000565545,0.00452644,0.005441492,108
구의2동,광진구,,0,1,0.000168612,,0,1,0.001041667,2,0.000639269,2,0.000015361,,0,1,0.000135593,,0,,0,7,0.002000502,0.002163708,0.00540052,109
사당2동,동작구,,0,,0,,0,1,0.001041667,,0,3,0.000023041,,0,2,0.000271186,,0,,0,6,0.001335894,0.003225962,0.005387438,110
목5동,양천구,,0,1,0.000168612,,0,,0,2,0.000639269,7,0.000053763,,0,1,0.000135593,,0,,0,11,0.000997237,0.003724483,0.005338012,111
면목본동,중랑구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,1,0.001162791,1,0.000135593,,0,,0,5,0.001482357,0.002914283,0.005312737,112
목2동,양천구,1,0.000422535,,0,,0,,0,4,0.001278539,1,0.00000768,,0,1,0.000135593,,0,,0,7,0.001844347,0.00230787,0.005292023,113
수궁동,구로구,1,0.000422535,1,0.000168612,,0,,0,,0,8,0.000061444,1,0.001162791,1,0.000135593,,0,,0,12,0.001950975,0.002082926,0.005239604,114
화양동,광진구,,0,2,0.000337224,,0,,0,,0,3,0.000023041,,0,1,0.000135593,,0,1,0.000172414,7,0.000668272,0.004148542,0.005229806,115
신당동,중구,,0,2,0.000337224,,0,,0,,0,4,0.000030722,1,0.001162791,1,0.000135593,,0,,0,8,0.00166633,0.002514037,0.005210159,116
반포4동,서초구,,0,1,0.000168612,,0,,0,,0,14,0.000107527,,0,1,0.000135593,2,0.000077519,1,0.000172414,19,0.000661665,0.004130407,0.005200981,117
둔촌2동,강동구,1,0.000422535,,0,,0,1,0.001041667,,0,5,0.000038402,,0,,0,,0,,0,7,0.001502604,0.002756658,0.005187871,118
상계6.7동,노원구,,0,4,0.000674449,,0,,0,,0,6,0.000046083,,0,,0,1,0.00003876,1,0.000172414,12,0.000931706,0.003665499,0.005172999,119
대흥동,마포구,,0,6,0.001011673,,0,,0,,0,5,0.000038402,,0,3,0.00040678,,0,1,0.000172414,15,0.001629269,0.002515869,0.005152026,120
석촌동,송파구,,0,,0,,0,,0,,0,9,0.000069124,1,0.001162791,1,0.000135593,2,0.000077519,,0,13,0.001445027,0.002794209,0.005132263,121
충현동,서대문구,,0,1,0.000168612,,0,,0,,0,7,0.000053763,,0,2,0.000271186,1,0.00003876,2,0.000344828,13,0.000877149,0.003697098,0.005116325,122
대조동,은평구,,0,2,0.000337224,,0,,0,2,0.000639269,3,0.000023041,,0,1,0.000135593,,0,,0,8,0.001135127,0.003269925,0.00510656,123
역삼2동,강남구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,2,0.000271186,1,0.00003876,,0,8,0.00050928,0.004209449,0.005033464,124
불광1동,은평구,1,0.000422535,2,0.000337224,,0,,0,,0,2,0.000015361,,0,1,0.000135593,2,0.000077519,,0,8,0.000988232,0.003400073,0.004999032,125
시흥1동,금천구,,0,3,0.000505837,,0,,0,2,0.000639269,4,0.000030722,,0,1,0.000135593,,0,,0,10,0.001311421,0.002847881,0.00496976,126
답십리2동,동대문구,1,0.000422535,2,0.000337224,,0,1,0.001041667,,0,2,0.000015361,,0,,0,,0,,0,6,0.001816787,0.002017806,0.004957367,127
서원동,관악구,1,0.000422535,,0,,0,,0,4,0.001278539,1,0.00000768,,0,,0,,0,,0,6,0.001708754,0.002189445,0.004954209,128
신월3동,양천구,,0,,0,,0,1,0.001041667,,0,7,0.000053763,1,0.001162791,,0,,0,,0,9,0.002258221,0.001284541,0.004938343,129
종로5.6가동,종로구,,0,2,0.000337224,,0,,0,,0,1,0.00000768,1,0.001162791,2,0.000271186,2,0.000077519,,0,8,0.0018564,0.00192585,0.004929505,130
발산1동,강서구,1,0.000422535,,0,,0,,0,,0,14,0.000107527,,0,2,0.000271186,4,0.000155039,,0,21,0.000956287,0.003217902,0.004765174,131
역촌동,은평구,,0,2,0.000337224,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,3,0.000344904,0.004189757,0.004747812,132
중계1동,노원구,,0,1,0.000168612,,0,1,0.001041667,1,0.000319635,5,0.000038402,,0,,0,,0,,0,8,0.001568316,0.002106739,0.004644274,133
상계2동,노원구,,0,2,0.000337224,,0,,0,2,0.000639269,2,0.000015361,,0,1,0.000135593,,0,,0,7,0.001127447,0.002819305,0.004643514,134
성수1가1동,성동구,,0,3,0.000505837,,0,,0,,0,7,0.000053763,1,0.001162791,1,0.000135593,,0,,0,12,0.001857984,0.001624063,0.004630281,135
종암동,성북구,,0,3,0.000505837,,0,,0,,0,4,0.000030722,,0,,0,1,0.00003876,,0,8,0.000575319,0.003691694,0.00462256,136
